id,description,category,channel,dateDiff,startTime,rLength,ratePerc,rateInK,shr,rateInKAll,live
1995821,THUIS,,VRT 1,2025-05-14T00:00:00.000000,20:16:44,00:24:23,,881.786,,,0
1995822,HET 7 UUR-JOURNAAL,,VRT 1,2025-05-14T00:00:00.000000,19:00:05,00:43:26,,814.508,,,0
1995823,IEDEREEN BEROEMD,,VRT 1,2025-05-14T00:00:00.000000,19:46:03,00:21:19,,607.087,,,0
1995824,BLOKKEN,,VRT 1,2025-05-14T00:00:00.000000,18:29:03,00:28:25,,556.443,,,0
1995825,NIEUWS 19U VTM,,VTM,2025-05-14T00:00:00.000000,18:59:46,00:55:13,,514.069,,,0
1995826,"ONS HUIS, NIEUW HUIS",,VRT 1,2025-05-14T00:00:00.000000,20:41:41,00:58:20,,504.771,,,0
1995827,FAMILIE,,VTM,2025-05-14T00:00:00.000000,20:07:12,00:25:20,,451.738,,,0
1995828,HET 1 UUR-JOURNAAL,,VRT 1,2025-05-14T00:00:00.000000,13:00:03,00:27:28,,363.509,,,0
1995829,DAGELIJKSE KOST,,VRT 1,2025-05-14T00:00:00.000000,18:12:04,00:15:24,,270.008,,,0
1995830,ONTROUW,,VRT 1,2025-05-14T00:00:00.000000,21:41:56,00:28:56,,261.580,,,0
1995831,VIVA LA FETA,,PLAY4,2025-05-14T00:00:00.000000,21:19:23,00:53:11,,252.469,,,0
1995832,LIEFDE VOOR MUZIEK,,VTM,2025-05-14T00:00:00.000000,20:42:24,01:07:46,,248.856,,,0
1995833,NIEUWS 13U VTM,,VTM,2025-05-14T00:00:00.000000,12:59:48,00:30:55,,243.225,,,0
1995834,HET JOURNAAL LAAT,,VRT 1,2025-05-14T00:00:00.000000,22:13:07,00:31:07,,236.313,,,0
1995835,BAR GOENS,,VTM,2025-05-14T00:00:00.000000,22:05:54,00:45:32,,209.753,,,0
1995836,DE TAFEL VAN GERT,,PLAY4,2025-05-14T00:00:00.000000,19:59:03,01:09:53,,188.419,,,0
1995837,DE AFSPRAAK,,VRT CANVAS,2025-05-14T00:00:00.000000,20:32:03,00:47:52,,172.817,,,0
1995838,MILO,,VTM,2025-05-14T00:00:00.000000,18:24:22,00:23:24,,154.814,,,0
1995839,TER ZAKE,,VRT CANVAS,2025-05-14T00:00:00.000000,20:00:03,00:29:30,,144.461,,,0
1995840,RECHT OP RECHT,,VRT 1,2025-05-14T00:00:00.000000,17:04:23,00:59:14,,143.776,,,0
1995761,THUIS,,VRT 1,2025-05-15T00:00:00.000000,20:18:53,00:23:15,,859.056,,,0
1995762,HET 7 UUR-JOURNAAL,,VRT 1,2025-05-15T00:00:00.000000,19:00:05,00:48:09,,784.584,,,0
1995763,IEDEREEN BEROEMD,,VRT 1,2025-05-15T00:00:00.000000,19:51:51,00:20:20,,601.358,,,0
1995764,BLOKKEN,,VRT 1,2025-05-15T00:00:00.000000,18:29:00,00:28:28,,588.651,,,0
1995765,NIEUWS 19U VTM,,VTM,2025-05-15T00:00:00.000000,18:59:48,00:56:45,,568.132,,,0
1995766,FAMILIE,,VTM,2025-05-15T00:00:00.000000,20:08:15,00:25:41,,498.225,,,0
1995767,HUIS GEMAAKT,,VTM,2025-05-15T00:00:00.000000,20:43:49,00:53:11,,442.897,,,0
1995768,EUROVISIE SONGFESTIVAL,,VRT 1,2025-05-15T00:00:00.000000,21:00:05,02:28:12,,394.274,,,0
1995769,HET 1 UUR-JOURNAAL,,VRT 1,2025-05-15T00:00:00.000000,13:00:05,00:25:51,,353.556,,,0
1995770,EUROVISION HALLO BASEL,,VRT 1,2025-05-15T00:00:00.000000,20:44:46,00:15:09,,338.182,,,0
1995771,DAGELIJKSE KOST,,VRT 1,2025-05-15T00:00:00.000000,18:11:55,00:15:28,,255.573,,,0
1995772,NIEUWS 13U VTM,,VTM,2025-05-15T00:00:00.000000,12:59:48,00:31:18,,243.720,,,0
1995773,MILO,,VTM,2025-05-15T00:00:00.000000,18:24:49,00:22:46,,203.185,,,0
1995774,KAMP JEROOM,,PLAY4,2025-05-15T00:00:00.000000,21:19:41,00:47:01,,198.119,,,0
1995775,DE AFSPRAAK,,VRT CANVAS,2025-05-15T00:00:00.000000,20:35:37,00:49:56,,197.534,,,0
1995776,HET JOURNAAL LAAT,,VRT 1,2025-05-15T00:00:00.000000,23:29:02,00:19:31,,191.342,,,0
1995777,BAR GOENS,,VTM,2025-05-15T00:00:00.000000,21:52:46,00:44:45,,188.242,,,0
1995778,MARKTKRAMERS,,VTM2,2025-05-15T00:00:00.000000,21:38:34,00:47:49,,185.444,,,0
1995779,DE TAFEL VAN GERT,,PLAY4,2025-05-15T00:00:00.000000,19:59:03,01:08:28,,184.537,,,0
1995780,TER ZAKE,,VRT CANVAS,2025-05-15T00:00:00.000000,20:00:03,00:33:15,,145.732,,,0
